table	scope	mainCount	sourceCount	candidateCount	mainSHA256	sourceSHA256	candidateSHA256
tblAuditLog	main-preserved	1	55	1	3ce7aa952e1623e02bd548c149eaf24fa95110b8cca961fe978c0cfd8834da39	10c19007bdb335ad7a97721c476055acd6cd7cc0dac3ff9bbddb4df18d370096	3ce7aa952e1623e02bd548c149eaf24fa95110b8cca961fe978c0cfd8834da39
tblBook	main-preserved	502	502	502	ac00470300245ee6cd5fd6c307de7bc4f84511b3b0e3da6748118496106fab92	cfeb6d7935ce68875892c16cb31dccb1ee3a1b015a0a5f02790193d8b1e7125f	ac00470300245ee6cd5fd6c307de7bc4f84511b3b0e3da6748118496106fab92
tblBookCopy	main-preserved	2003	2003	2003	67dac33e3f1fdb37b76c7ace81310ff53a30bd8e0bcaac3846077259fd265f4c	67dac33e3f1fdb37b76c7ace81310ff53a30bd8e0bcaac3846077259fd265f4c	67dac33e3f1fdb37b76c7ace81310ff53a30bd8e0bcaac3846077259fd265f4c
tblBookLoan	main-preserved	422	422	422	b7f4a26c42fc8da5eacc8971e77206821741784210b6dda0fbed092d0b70fdae	b7f4a26c42fc8da5eacc8971e77206821741784210b6dda0fbed092d0b70fdae	b7f4a26c42fc8da5eacc8971e77206821741784210b6dda0fbed092d0b70fdae
tblCart	commerce-source	301	305	305	9032618048e62b7e1f2e99e567edc0a05ec7f002373722857a8172d112843737	b30c61e253ab8e12aa172c40f0eb09aa2b6c4ee855fd82fdce4e18eb211d6ec1	b30c61e253ab8e12aa172c40f0eb09aa2b6c4ee855fd82fdce4e18eb211d6ec1
tblCartItem	commerce-source	602	616	616	b3fe83b21d4f9744584ac9e64823d22bf7515d508083af6fa5cda581373efacb	1c217b566309b40db74c0896bf883c6120895ef28418c8b4f75cdb69df7b56f2	1c217b566309b40db74c0896bf883c6120895ef28418c8b4f75cdb69df7b56f2
tblCatalogReceipt	commerce-source	0	21	21	ABSENT	4551818206dcec4fb1184ea806b1683612b82fbd36c237cb06ef505052696ec9	4551818206dcec4fb1184ea806b1683612b82fbd36c237cb06ef505052696ec9
tblClass	main-preserved	51	51	51	1234b41996b2dfba350a38b50d8a523e0f8c9a7636fbd096bbbd8891a2092295	1234b41996b2dfba350a38b50d8a523e0f8c9a7636fbd096bbbd8891a2092295	1234b41996b2dfba350a38b50d8a523e0f8c9a7636fbd096bbbd8891a2092295
tblCourse	main-preserved	137	122	137	65ca1a49672bf8de6da391c0ad55815d5017d27ead473f0ccb030adb6ab1ece7	17c4cb00577cafcac8743335889fa3ec082a3b457c7245447ad747970bc4bb8c	65ca1a49672bf8de6da391c0ad55815d5017d27ead473f0ccb030adb6ab1ece7
tblCourseOffering	main-preserved	292	292	292	6858cbc59894aca96b63305bf1c4b8d42cb3c217c5f8e90b34b0e9ab0af88280	c5463f4e678b57293e7475ba5cc829ec0f897723d800f97ded228a4aef29fc16	6858cbc59894aca96b63305bf1c4b8d42cb3c217c5f8e90b34b0e9ab0af88280
